index,Price_euros
86,502.8558000000001
1249,1047.2099
122,754.0180000000001
993,1821.6336999999994
739,670.2211000000003
471,1484.4546999999998
174,1370.2089
540,1338.149
1311,973.86
685,382.12
751,1064.5169
925,408.6693
933,416.3887000000001
1181,586.276
185,1282.1120999999998
767,3307.3779999999974
1022,747.9358
1147,1593.6807000000003
628,799.9338
1085,1161.9428
1038,793.5314999999993
148,1281.4288000000001
26,585.3745999999998
732,1287.7972
124,732.5392000000002
937,946.1559000000001
1002,734.0821000000002
447,1486.7198999999998
836,820.1999000000001
243,2613.443599999999
462,717.92
1265,583.8557999999999
733,968.6379000000001
1195,1424.7076000000002
796,880.2068000000004
83,1646.7
636,634.5648
1186,1394.8970000000002
493,1101.326399999999
44,543.504
827,3351.1939999999995
1310,442.4008
319,284.83300000000014
1277,531.1655000000001
1102,1264.9499999999998
429,686.9297000000005
1241,1685.87
585,2170.6899
1171,1104.8084000000006
1148,1791.5307999999998
769,1958.8934
806,1164.4015000000002
594,638.1528
459,874.4910000000002
1298,601.2882999999997
853,911.2921999999999
1196,691.7474999999998
10,1672.2977
535,885.1176
367,1016.0204999999997
1107,1458.4009000000003
466,1487.5829999999999
1227,819.7096
211,1405.454
813,680.9370999999999
542,1218.5395999999998
1312,570.5226999999999
586,656.0623
507,309.2115000000002
488,764.9373999999999
1101,489.98290000000003
917,2143.62
1305,600.6655
1112,1217.5213
498,1680.3519999999999
178,1010.219
303,1044.892
745,959.6848000000002
519,701.9870000000001
720,999.2569000000004
1093,681.7828999999998
125,667.7494
134,588.1423
142,1257.2180999999998
1317,1433.68
735,1064.2256000000002
340,1225.2905000000003
818,884.4024000000002
958,279.87590000000006
879,1298.7225
170,506.05
845,2425.8158999999996
1,1922.6423000000013
1205,708.28
369,453.2911000000001
1236,962.42
1132,1507.6896000000002
926,1014.1656000000002
718,1660.649
325,1153.0671
484,1098.9299
802,867.0156999999998
835,1639.308
297,996.4748999999999
624,1584.0107999999998
828,817.38
219,1352.7946000000002
72,1372.4980000000003
809,2320.1814999999997
706,1548.7451000000003
1260,606.2294
1020,1105.7298999999998
541,883.0068000000001
1057,831.5982999999999
403,543.8880999999999
820,2388.7258999999995
1046,1337.6459000000004
476,961.0165
510,765.6081000000003
258,1597.8489999999997
1252,217.92520000000005
261,1104.0499
200,3167.747599999999
785,1525.76
1040,947.6407999999997
1066,830.0631999999999
57,618.2604000000002
1166,1109.2949
144,589.6307999999999
3,890.6971999999997
783,1348.7045
34,1231.2549000000001
1300,219.03050000000002
509,838.691
687,1384.9166999999998
546,752.5236
1212,1222.7968000000003
1096,2447.691499999997
749,1089.4296
512,858.7517000000001
147,391.19980000000027
999,710.6366000000003
1092,2408.420700000001
774,1503.5509
544,516.5470000000003
799,2000.6807999999999
31,549.5558000000002
671,864.42
843,1789.16
242,790.6146000000001
784,1021.4574000000003
1072,1094.9002999999996
344,951.207
865,896.8371000000016
1238,930.6071000000002
781,1457.64
186,1059.5657000000006
651,1905.1949999999997
566,599.5308000000001
155,482.5722000000002
95,1355.96
1098,1464.4784000000009
413,1680.3819999999998
8,1212.6003000000012
1044,1063.3422999999987
353,681.4304000000002
948,1714.8836000000008
1056,537.4039000000001
947,1492.9448000000002
575,689.1623000000001
759,459.18129999999996
143,1036.14
323,1133.2416
1108,1238.8386
197,1189.44
426,1250.184
545,904.8181999999999
1216,510.2001
511,355.92
463,2869.326599999999
887,1043.2998
371,592.3124
833,2303.1828000000005
1021,1700.7525
863,733.6904999999991
1123,731.6245999999999
635,670.65
1262,1269.8366000000005
1297,979.96
477,1293.9360000000001
876,1278.7457999999997
282,729.4063000000001
528,1253.7502
1204,570.0952000000001
386,1956.6729999999998
